DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNo,Quarter,Year
20240101,2024-01-01,Monday,1,January,Jan,1,1,2024
20240102,2024-01-02,Tuesday,1,January,Jan,1,1,2024
20240103,2024-01-03,Wednesday,1,January,Jan,1,1,2024
20240104,2024-01-04,Thursday,1,January,Jan,1,1,2024
20240105,2024-01-05,Friday,1,January,Jan,1,1,2024
20240106,2024-01-06,Saturday,1,January,Jan,1,1,2024
20240107,2024-01-07,Sunday,2,January,Jan,1,1,2024
20240108,2024-01-08,Monday,2,January,Jan,1,1,2024
20240109,2024-01-09,Tuesday,2,January,Jan,1,1,2024
20240110,2024-01-10,Wednesday,2,January,Jan,1,1,2024
20240111,2024-01-11,Thursday,2,January,Jan,1,1,2024
20240112,2024-01-12,Friday,2,January,Jan,1,1,2024
20240113,2024-01-13,Saturday,2,January,Jan,1,1,2024
20240114,2024-01-14,Sunday,3,January,Jan,1,1,2024
20240115,2024-01-15,Monday,3,January,Jan,1,1,2024
20240116,2024-01-16,Tuesday,3,January,Jan,1,1,2024
20240117,2024-01-17,Wednesday,3,January,Jan,1,1,2024
20240118,2024-01-18,Thursday,3,January,Jan,1,1,2024
20240119,2024-01-19,Friday,3,January,Jan,1,1,2024
20240120,2024-01-20,Saturday,3,January,Jan,1,1,2024
20240121,2024-01-21,Sunday,4,January,Jan,1,1,2024
20240122,2024-01-22,Monday,4,January,Jan,1,1,2024
20240123,2024-01-23,Tuesday,4,January,Jan,1,1,2024
20240124,2024-01-24,Wednesday,4,January,Jan,1,1,2024
20240125,2024-01-25,Thursday,4,January,Jan,1,1,2024
20240126,2024-01-26,Friday,4,January,Jan,1,1,2024
20240127,2024-01-27,Saturday,4,January,Jan,1,1,2024
20240128,2024-01-28,Sunday,5,January,Jan,1,1,2024
20240129,2024-01-29,Monday,5,January,Jan,1,1,2024
20240130,2024-01-30,Tuesday,5,January,Jan,1,1,2024
20240131,2024-01-31,Wednesday,5,January,Jan,1,1,2024
20240201,2024-02-01,Thursday,5,February,Feb,2,1,2024
20240202,2024-02-02,Friday,5,February,Feb,2,1,2024
20240203,2024-02-03,Saturday,5,February,Feb,2,1,2024
20240204,2024-02-04,Sunday,6,February,Feb,2,1,2024
20240205,2024-02-05,Monday,6,February,Feb,2,1,2024
20240206,2024-02-06,Tuesday,6,February,Feb,2,1,2024
20240207,2024-02-07,Wednesday,6,February,Feb,2,1,2024
20240208,2024-02-08,Thursday,6,February,Feb,2,1,2024
20240209,2024-02-09,Friday,6,February,Feb,2,1,2024
20240210,2024-02-10,Saturday,6,February,Feb,2,1,2024
20240211,2024-02-11,Sunday,7,February,Feb,2,1,2024
20240212,2024-02-12,Monday,7,February,Feb,2,1,2024
20240213,2024-02-13,Tuesday,7,February,Feb,2,1,2024
20240214,2024-02-14,Wednesday,7,February,Feb,2,1,2024
20240215,2024-02-15,Thursday,7,February,Feb,2,1,2024
20240216,2024-02-16,Friday,7,February,Feb,2,1,2024
20240217,2024-02-17,Saturday,7,February,Feb,2,1,2024
20240218,2024-02-18,Sunday,8,February,Feb,2,1,2024
20240219,2024-02-19,Monday,8,February,Feb,2,1,2024
20240220,2024-02-20,Tuesday,8,February,Feb,2,1,2024
20240221,2024-02-21,Wednesday,8,February,Feb,2,1,2024
20240222,2024-02-22,Thursday,8,February,Feb,2,1,2024
20240223,2024-02-23,Friday,8,February,Feb,2,1,2024
20240224,2024-02-24,Saturday,8,February,Feb,2,1,2024
20240225,2024-02-25,Sunday,9,February,Feb,2,1,2024
20240226,2024-02-26,Monday,9,February,Feb,2,1,2024
20240227,2024-02-27,Tuesday,9,February,Feb,2,1,2024
20240228,2024-02-28,Wednesday,9,February,Feb,2,1,2024
20240229,2024-02-29,Thursday,9,February,Feb,2,1,2024
20240301,2024-03-01,Friday,9,March,Mar,3,1,2024
20240302,2024-03-02,Saturday,9,March,Mar,3,1,2024
20240303,2024-03-03,Sunday,10,March,Mar,3,1,2024
20240304,2024-03-04,Monday,10,March,Mar,3,1,2024
20240305,2024-03-05,Tuesday,10,March,Mar,3,1,2024
20240306,2024-03-06,Wednesday,10,March,Mar,3,1,2024
20240307,2024-03-07,Thursday,10,March,Mar,3,1,2024
20240308,2024-03-08,Friday,10,March,Mar,3,1,2024
20240309,2024-03-09,Saturday,10,March,Mar,3,1,2024
20240310,2024-03-10,Sunday,11,March,Mar,3,1,2024
20240311,2024-03-11,Monday,11,March,Mar,3,1,2024
20240312,2024-03-12,Tuesday,11,March,Mar,3,1,2024
20240313,2024-03-13,Wednesday,11,March,Mar,3,1,2024
20240314,2024-03-14,Thursday,11,March,Mar,3,1,2024
20240315,2024-03-15,Friday,11,March,Mar,3,1,2024
20240316,2024-03-16,Saturday,11,March,Mar,3,1,2024
20240317,2024-03-17,Sunday,12,March,Mar,3,1,2024
20240318,2024-03-18,Monday,12,March,Mar,3,1,2024
20240319,2024-03-19,Tuesday,12,March,Mar,3,1,2024
20240320,2024-03-20,Wednesday,12,March,Mar,3,1,2024
20240321,2024-03-21,Thursday,12,March,Mar,3,1,2024
20240322,2024-03-22,Friday,12,March,Mar,3,1,2024
20240323,2024-03-23,Saturday,12,March,Mar,3,1,2024
20240324,2024-03-24,Sunday,13,March,Mar,3,1,2024
20240325,2024-03-25,Monday,13,March,Mar,3,1,2024
20240326,2024-03-26,Tuesday,13,March,Mar,3,1,2024
20240327,2024-03-27,Wednesday,13,March,Mar,3,1,2024
20240328,2024-03-28,Thursday,13,March,Mar,3,1,2024
20240329,2024-03-29,Friday,13,March,Mar,3,1,2024
20240330,2024-03-30,Saturday,13,March,Mar,3,1,2024
20240331,2024-03-31,Sunday,14,March,Mar,3,1,2024
20240401,2024-04-01,Monday,14,April,Apr,4,2,2024
20240402,2024-04-02,Tuesday,14,April,Apr,4,2,2024
20240403,2024-04-03,Wednesday,14,April,Apr,4,2,2024
20240404,2024-04-04,Thursday,14,April,Apr,4,2,2024
20240405,2024-04-05,Friday,14,April,Apr,4,2,2024
20240406,2024-04-06,Saturday,14,April,Apr,4,2,2024
20240407,2024-04-07,Sunday,15,April,Apr,4,2,2024
20240408,2024-04-08,Monday,15,April,Apr,4,2,2024
20240409,2024-04-09,Tuesday,15,April,Apr,4,2,2024
20240410,2024-04-10,Wednesday,15,April,Apr,4,2,2024
20240411,2024-04-11,Thursday,15,April,Apr,4,2,2024
20240412,2024-04-12,Friday,15,April,Apr,4,2,2024
20240413,2024-04-13,Saturday,15,April,Apr,4,2,2024
20240414,2024-04-14,Sunday,16,April,Apr,4,2,2024
20240415,2024-04-15,Monday,16,April,Apr,4,2,2024
20240416,2024-04-16,Tuesday,16,April,Apr,4,2,2024
20240417,2024-04-17,Wednesday,16,April,Apr,4,2,2024
20240418,2024-04-18,Thursday,16,April,Apr,4,2,2024
20240419,2024-04-19,Friday,16,April,Apr,4,2,2024
20240420,2024-04-20,Saturday,16,April,Apr,4,2,2024
20240421,2024-04-21,Sunday,17,April,Apr,4,2,2024
20240422,2024-04-22,Monday,17,April,Apr,4,2,2024
20240423,2024-04-23,Tuesday,17,April,Apr,4,2,2024
20240424,2024-04-24,Wednesday,17,April,Apr,4,2,2024
20240425,2024-04-25,Thursday,17,April,Apr,4,2,2024
20240426,2024-04-26,Friday,17,April,Apr,4,2,2024
20240427,2024-04-27,Saturday,17,April,Apr,4,2,2024
20240428,2024-04-28,Sunday,18,April,Apr,4,2,2024
20240429,2024-04-29,Monday,18,April,Apr,4,2,2024
20240430,2024-04-30,Tuesday,18,April,Apr,4,2,2024
20240501,2024-05-01,Wednesday,18,May,May,5,2,2024
20240502,2024-05-02,Thursday,18,May,May,5,2,2024
20240503,2024-05-03,Friday,18,May,May,5,2,2024
20240504,2024-05-04,Saturday,18,May,May,5,2,2024
20240505,2024-05-05,Sunday,19,May,May,5,2,2024
20240506,2024-05-06,Monday,19,May,May,5,2,2024
20240507,2024-05-07,Tuesday,19,May,May,5,2,2024
20240508,2024-05-08,Wednesday,19,May,May,5,2,2024
20240509,2024-05-09,Thursday,19,May,May,5,2,2024
20240510,2024-05-10,Friday,19,May,May,5,2,2024
20240511,2024-05-11,Saturday,19,May,May,5,2,2024
20240512,2024-05-12,Sunday,20,May,May,5,2,2024
20240513,2024-05-13,Monday,20,May,May,5,2,2024
20240514,2024-05-14,Tuesday,20,May,May,5,2,2024
20240515,2024-05-15,Wednesday,20,May,May,5,2,2024
20240516,2024-05-16,Thursday,20,May,May,5,2,2024
20240517,2024-05-17,Friday,20,May,May,5,2,2024
20240518,2024-05-18,Saturday,20,May,May,5,2,2024
20240519,2024-05-19,Sunday,21,May,May,5,2,2024
20240520,2024-05-20,Monday,21,May,May,5,2,2024
20240521,2024-05-21,Tuesday,21,May,May,5,2,2024
20240522,2024-05-22,Wednesday,21,May,May,5,2,2024
20240523,2024-05-23,Thursday,21,May,May,5,2,2024
20240524,2024-05-24,Friday,21,May,May,5,2,2024
20240525,2024-05-25,Saturday,21,May,May,5,2,2024
20240526,2024-05-26,Sunday,22,May,May,5,2,2024
20240527,2024-05-27,Monday,22,May,May,5,2,2024
20240528,2024-05-28,Tuesday,22,May,May,5,2,2024
20240529,2024-05-29,Wednesday,22,May,May,5,2,2024
20240530,2024-05-30,Thursday,22,May,May,5,2,2024
20240531,2024-05-31,Friday,22,May,May,5,2,2024
20240601,2024-06-01,Saturday,22,June,Jun,6,2,2024
20240602,2024-06-02,Sunday,23,June,Jun,6,2,2024
20240603,2024-06-03,Monday,23,June,Jun,6,2,2024
20240604,2024-06-04,Tuesday,23,June,Jun,6,2,2024
20240605,2024-06-05,Wednesday,23,June,Jun,6,2,2024
20240606,2024-06-06,Thursday,23,June,Jun,6,2,2024
20240607,2024-06-07,Friday,23,June,Jun,6,2,2024
20240608,2024-06-08,Saturday,23,June,Jun,6,2,2024
20240609,2024-06-09,Sunday,24,June,Jun,6,2,2024
20240610,2024-06-10,Monday,24,June,Jun,6,2,2024
20240611,2024-06-11,Tuesday,24,June,Jun,6,2,2024
20240612,2024-06-12,Wednesday,24,June,Jun,6,2,2024
20240613,2024-06-13,Thursday,24,June,Jun,6,2,2024
20240614,2024-06-14,Friday,24,June,Jun,6,2,2024
20240615,2024-06-15,Saturday,24,June,Jun,6,2,2024
20240616,2024-06-16,Sunday,25,June,Jun,6,2,2024
20240617,2024-06-17,Monday,25,June,Jun,6,2,2024
20240618,2024-06-18,Tuesday,25,June,Jun,6,2,2024
20240619,2024-06-19,Wednesday,25,June,Jun,6,2,2024
20240620,2024-06-20,Thursday,25,June,Jun,6,2,2024
20240621,2024-06-21,Friday,25,June,Jun,6,2,2024
20240622,2024-06-22,Saturday,25,June,Jun,6,2,2024
20240623,2024-06-23,Sunday,26,June,Jun,6,2,2024
20240624,2024-06-24,Monday,26,June,Jun,6,2,2024
20240625,2024-06-25,Tuesday,26,June,Jun,6,2,2024
20240626,2024-06-26,Wednesday,26,June,Jun,6,2,2024
20240627,2024-06-27,Thursday,26,June,Jun,6,2,2024
20240628,2024-06-28,Friday,26,June,Jun,6,2,2024
20240629,2024-06-29,Saturday,26,June,Jun,6,2,2024
20240630,2024-06-30,Sunday,27,June,Jun,6,2,2024
20240701,2024-07-01,Monday,27,July,Jul,7,3,2024
20240702,2024-07-02,Tuesday,27,July,Jul,7,3,2024
20240703,2024-07-03,Wednesday,27,July,Jul,7,3,2024
20240704,2024-07-04,Thursday,27,July,Jul,7,3,2024
20240705,2024-07-05,Friday,27,July,Jul,7,3,2024
20240706,2024-07-06,Saturday,27,July,Jul,7,3,2024
20240707,2024-07-07,Sunday,28,July,Jul,7,3,2024
20240708,2024-07-08,Monday,28,July,Jul,7,3,2024
20240709,2024-07-09,Tuesday,28,July,Jul,7,3,2024
20240710,2024-07-10,Wednesday,28,July,Jul,7,3,2024
20240711,2024-07-11,Thursday,28,July,Jul,7,3,2024
20240712,2024-07-12,Friday,28,July,Jul,7,3,2024
20240713,2024-07-13,Saturday,28,July,Jul,7,3,2024
20240714,2024-07-14,Sunday,29,July,Jul,7,3,2024
20240715,2024-07-15,Monday,29,July,Jul,7,3,2024
20240716,2024-07-16,Tuesday,29,July,Jul,7,3,2024
20240717,2024-07-17,Wednesday,29,July,Jul,7,3,2024
20240718,2024-07-18,Thursday,29,July,Jul,7,3,2024
20240719,2024-07-19,Friday,29,July,Jul,7,3,2024
20240720,2024-07-20,Saturday,29,July,Jul,7,3,2024
20240721,2024-07-21,Sunday,30,July,Jul,7,3,2024
20240722,2024-07-22,Monday,30,July,Jul,7,3,2024
20240723,2024-07-23,Tuesday,30,July,Jul,7,3,2024
20240724,2024-07-24,Wednesday,30,July,Jul,7,3,2024
20240725,2024-07-25,Thursday,30,July,Jul,7,3,2024
20240726,2024-07-26,Friday,30,July,Jul,7,3,2024
20240727,2024-07-27,Saturday,30,July,Jul,7,3,2024
20240728,2024-07-28,Sunday,31,July,Jul,7,3,2024
20240729,2024-07-29,Monday,31,July,Jul,7,3,2024
20240730,2024-07-30,Tuesday,31,July,Jul,7,3,2024
20240731,2024-07-31,Wednesday,31,July,Jul,7,3,2024
20240801,2024-08-01,Thursday,31,August,Aug,8,3,2024
20240802,2024-08-02,Friday,31,August,Aug,8,3,2024
20240803,2024-08-03,Saturday,31,August,Aug,8,3,2024
20240804,2024-08-04,Sunday,32,August,Aug,8,3,2024
20240805,2024-08-05,Monday,32,August,Aug,8,3,2024
20240806,2024-08-06,Tuesday,32,August,Aug,8,3,2024
20240807,2024-08-07,Wednesday,32,August,Aug,8,3,2024
20240808,2024-08-08,Thursday,32,August,Aug,8,3,2024
20240809,2024-08-09,Friday,32,August,Aug,8,3,2024
20240810,2024-08-10,Saturday,32,August,Aug,8,3,2024
20240811,2024-08-11,Sunday,33,August,Aug,8,3,2024
20240812,2024-08-12,Monday,33,August,Aug,8,3,2024
20240813,2024-08-13,Tuesday,33,August,Aug,8,3,2024
20240814,2024-08-14,Wednesday,33,August,Aug,8,3,2024
20240815,2024-08-15,Thursday,33,August,Aug,8,3,2024
20240816,2024-08-16,Friday,33,August,Aug,8,3,2024
20240817,2024-08-17,Saturday,33,August,Aug,8,3,2024
20240818,2024-08-18,Sunday,34,August,Aug,8,3,2024
20240819,2024-08-19,Monday,34,August,Aug,8,3,2024
20240820,2024-08-20,Tuesday,34,August,Aug,8,3,2024
20240821,2024-08-21,Wednesday,34,August,Aug,8,3,2024
20240822,2024-08-22,Thursday,34,August,Aug,8,3,2024
20240823,2024-08-23,Friday,34,August,Aug,8,3,2024
20240824,2024-08-24,Saturday,34,August,Aug,8,3,2024
20240825,2024-08-25,Sunday,35,August,Aug,8,3,2024
20240826,2024-08-26,Monday,35,August,Aug,8,3,2024
20240827,2024-08-27,Tuesday,35,August,Aug,8,3,2024
20240828,2024-08-28,Wednesday,35,August,Aug,8,3,2024
20240829,2024-08-29,Thursday,35,August,Aug,8,3,2024
20240830,2024-08-30,Friday,35,August,Aug,8,3,2024
20240831,2024-08-31,Saturday,35,August,Aug,8,3,2024
20240901,2024-09-01,Sunday,36,September,Sep,9,3,2024
20240902,2024-09-02,Monday,36,September,Sep,9,3,2024
20240903,2024-09-03,Tuesday,36,September,Sep,9,3,2024
20240904,2024-09-04,Wednesday,36,September,Sep,9,3,2024
20240905,2024-09-05,Thursday,36,September,Sep,9,3,2024
20240906,2024-09-06,Friday,36,September,Sep,9,3,2024
20240907,2024-09-07,Saturday,36,September,Sep,9,3,2024
20240908,2024-09-08,Sunday,37,September,Sep,9,3,2024
20240909,2024-09-09,Monday,37,September,Sep,9,3,2024
20240910,2024-09-10,Tuesday,37,September,Sep,9,3,2024
20240911,2024-09-11,Wednesday,37,September,Sep,9,3,2024
20240912,2024-09-12,Thursday,37,September,Sep,9,3,2024
20240913,2024-09-13,Friday,37,September,Sep,9,3,2024
20240914,2024-09-14,Saturday,37,September,Sep,9,3,2024
20240915,2024-09-15,Sunday,38,September,Sep,9,3,2024
20240916,2024-09-16,Monday,38,September,Sep,9,3,2024
20240917,2024-09-17,Tuesday,38,September,Sep,9,3,2024
20240918,2024-09-18,Wednesday,38,September,Sep,9,3,2024
20240919,2024-09-19,Thursday,38,September,Sep,9,3,2024
20240920,2024-09-20,Friday,38,September,Sep,9,3,2024
20240921,2024-09-21,Saturday,38,September,Sep,9,3,2024
20240922,2024-09-22,Sunday,39,September,Sep,9,3,2024
20240923,2024-09-23,Monday,39,September,Sep,9,3,2024
20240924,2024-09-24,Tuesday,39,September,Sep,9,3,2024
20240925,2024-09-25,Wednesday,39,September,Sep,9,3,2024
20240926,2024-09-26,Thursday,39,September,Sep,9,3,2024
20240927,2024-09-27,Friday,39,September,Sep,9,3,2024
20240928,2024-09-28,Saturday,39,September,Sep,9,3,2024
20240929,2024-09-29,Sunday,40,September,Sep,9,3,2024
20240930,2024-09-30,Monday,40,September,Sep,9,3,2024
20241001,2024-10-01,Tuesday,40,October,Oct,10,4,2024
20241002,2024-10-02,Wednesday,40,October,Oct,10,4,2024
20241003,2024-10-03,Thursday,40,October,Oct,10,4,2024
20241004,2024-10-04,Friday,40,October,Oct,10,4,2024
20241005,2024-10-05,Saturday,40,October,Oct,10,4,2024
20241006,2024-10-06,Sunday,41,October,Oct,10,4,2024
20241007,2024-10-07,Monday,41,October,Oct,10,4,2024
20241008,2024-10-08,Tuesday,41,October,Oct,10,4,2024
20241009,2024-10-09,Wednesday,41,October,Oct,10,4,2024
20241010,2024-10-10,Thursday,41,October,Oct,10,4,2024
20241011,2024-10-11,Friday,41,October,Oct,10,4,2024
20241012,2024-10-12,Saturday,41,October,Oct,10,4,2024
20241013,2024-10-13,Sunday,42,October,Oct,10,4,2024
20241014,2024-10-14,Monday,42,October,Oct,10,4,2024
20241015,2024-10-15,Tuesday,42,October,Oct,10,4,2024
20241016,2024-10-16,Wednesday,42,October,Oct,10,4,2024
20241017,2024-10-17,Thursday,42,October,Oct,10,4,2024
20241018,2024-10-18,Friday,42,October,Oct,10,4,2024
20241019,2024-10-19,Saturday,42,October,Oct,10,4,2024
20241020,2024-10-20,Sunday,43,October,Oct,10,4,2024
20241021,2024-10-21,Monday,43,October,Oct,10,4,2024
20241022,2024-10-22,Tuesday,43,October,Oct,10,4,2024
20241023,2024-10-23,Wednesday,43,October,Oct,10,4,2024
20241024,2024-10-24,Thursday,43,October,Oct,10,4,2024
20241025,2024-10-25,Friday,43,October,Oct,10,4,2024
20241026,2024-10-26,Saturday,43,October,Oct,10,4,2024
20241027,2024-10-27,Sunday,44,October,Oct,10,4,2024
20241028,2024-10-28,Monday,44,October,Oct,10,4,2024
20241029,2024-10-29,Tuesday,44,October,Oct,10,4,2024
20241030,2024-10-30,Wednesday,44,October,Oct,10,4,2024
20241031,2024-10-31,Thursday,44,October,Oct,10,4,2024
20241101,2024-11-01,Friday,44,November,Nov,11,4,2024
20241102,2024-11-02,Saturday,44,November,Nov,11,4,2024
20241103,2024-11-03,Sunday,45,November,Nov,11,4,2024
20241104,2024-11-04,Monday,45,November,Nov,11,4,2024
20241105,2024-11-05,Tuesday,45,November,Nov,11,4,2024
20241106,2024-11-06,Wednesday,45,November,Nov,11,4,2024
20241107,2024-11-07,Thursday,45,November,Nov,11,4,2024
20241108,2024-11-08,Friday,45,November,Nov,11,4,2024
20241109,2024-11-09,Saturday,45,November,Nov,11,4,2024
20241110,2024-11-10,Sunday,46,November,Nov,11,4,2024
20241111,2024-11-11,Monday,46,November,Nov,11,4,2024
20241112,2024-11-12,Tuesday,46,November,Nov,11,4,2024
20241113,2024-11-13,Wednesday,46,November,Nov,11,4,2024
20241114,2024-11-14,Thursday,46,November,Nov,11,4,2024
20241115,2024-11-15,Friday,46,November,Nov,11,4,2024
20241116,2024-11-16,Saturday,46,November,Nov,11,4,2024
20241117,2024-11-17,Sunday,47,November,Nov,11,4,2024
20241118,2024-11-18,Monday,47,November,Nov,11,4,2024
20241119,2024-11-19,Tuesday,47,November,Nov,11,4,2024
20241120,2024-11-20,Wednesday,47,November,Nov,11,4,2024
20241121,2024-11-21,Thursday,47,November,Nov,11,4,2024
20241122,2024-11-22,Friday,47,November,Nov,11,4,2024
20241123,2024-11-23,Saturday,47,November,Nov,11,4,2024
20241124,2024-11-24,Sunday,48,November,Nov,11,4,2024
20241125,2024-11-25,Monday,48,November,Nov,11,4,2024
20241126,2024-11-26,Tuesday,48,November,Nov,11,4,2024
20241127,2024-11-27,Wednesday,48,November,Nov,11,4,2024
20241128,2024-11-28,Thursday,48,November,Nov,11,4,2024
20241129,2024-11-29,Friday,48,November,Nov,11,4,2024
20241130,2024-11-30,Saturday,48,November,Nov,11,4,2024
20241201,2024-12-01,Sunday,49,December,Dec,12,4,2024
20241202,2024-12-02,Monday,49,December,Dec,12,4,2024
20241203,2024-12-03,Tuesday,49,December,Dec,12,4,2024
20241204,2024-12-04,Wednesday,49,December,Dec,12,4,2024
20241205,2024-12-05,Thursday,49,December,Dec,12,4,2024
20241206,2024-12-06,Friday,49,December,Dec,12,4,2024
20241207,2024-12-07,Saturday,49,December,Dec,12,4,2024
20241208,2024-12-08,Sunday,50,December,Dec,12,4,2024
20241209,2024-12-09,Monday,50,December,Dec,12,4,2024
20241210,2024-12-10,Tuesday,50,December,Dec,12,4,2024
20241211,2024-12-11,Wednesday,50,December,Dec,12,4,2024
20241212,2024-12-12,Thursday,50,December,Dec,12,4,2024
20241213,2024-12-13,Friday,50,December,Dec,12,4,2024
20241214,2024-12-14,Saturday,50,December,Dec,12,4,2024
20241215,2024-12-15,Sunday,51,December,Dec,12,4,2024
20241216,2024-12-16,Monday,51,December,Dec,12,4,2024
20241217,2024-12-17,Tuesday,51,December,Dec,12,4,2024
20241218,2024-12-18,Wednesday,51,December,Dec,12,4,2024
20241219,2024-12-19,Thursday,51,December,Dec,12,4,2024
20241220,2024-12-20,Friday,51,December,Dec,12,4,2024
20241221,2024-12-21,Saturday,51,December,Dec,12,4,2024
20241222,2024-12-22,Sunday,52,December,Dec,12,4,2024
20241223,2024-12-23,Monday,52,December,Dec,12,4,2024
20241224,2024-12-24,Tuesday,52,December,Dec,12,4,2024
20241225,2024-12-25,Wednesday,52,December,Dec,12,4,2024
20241226,2024-12-26,Thursday,52,December,Dec,12,4,2024
20241227,2024-12-27,Friday,52,December,Dec,12,4,2024
20241228,2024-12-28,Saturday,52,December,Dec,12,4,2024
20241229,2024-12-29,Sunday,53,December,Dec,12,4,2024
20241230,2024-12-30,Monday,53,December,Dec,12,4,2024
20241231,2024-12-31,Tuesday,53,December,Dec,12,4,2024
